City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tazacorte,28.629,-17.9293,19.54,80,100,2.57,ES,2023-05-25
1,ushuaia,-54.8,-68.3,0.81,80,20,3.6,AR,2023-05-25
2,iqaluit,63.7506,-68.5145,1.85,74,75,4.47,CA,2023-05-25
3,haiku-pauwela,20.9219,-156.3051,26.2,69,75,8.23,US,2023-05-25
4,vorgashor,67.5833,63.95,13.26,76,96,4.19,RU,2023-05-25
5,adamstown,-25.066,-130.1015,23.41,68,46,2.51,PN,2023-05-25
6,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,66,40,2.0,RU,2023-05-25
7,san ignacio de velasco,-16.3667,-60.95,25.1,70,79,1.44,BO,2023-05-25
8,richards bay,-28.783,32.0377,23.13,63,2,7.42,ZA,2023-05-25
9,invercargill,-46.4,168.35,13.82,73,100,5.73,NZ,2023-05-25
10,waitangi,-43.9535,-176.5597,14.34,82,6,1.34,NZ,2023-05-25
11,amahai,-3.3333,128.9167,30.0,79,100,4.56,ID,2023-05-25
12,whitehorse,60.7161,-135.0538,15.17,54,100,9.26,CA,2023-05-25
13,calvi,42.5,8.8333,12.35,88,0,3.6,FR,2023-05-25
14,lubango,-14.9172,13.4925,15.36,49,0,1.23,AO,2023-05-25
15,kununurra,-15.7667,128.7333,17.99,72,4,1.03,AU,2023-05-25
16,anastacio,-20.4836,-55.8069,24.06,60,31,2.13,BR,2023-05-25
17,port-aux-francais,-49.35,70.2167,5.38,99,99,8.52,TF,2023-05-25
18,bredasdorp,-34.5322,20.0403,9.41,83,52,4.54,ZA,2023-05-25
19,papatowai,-46.5619,169.4708,14.26,63,100,5.52,NZ,2023-05-25
20,hawaiian paradise park,19.5933,-154.9731,26.73,78,40,7.2,US,2023-05-25
21,ribas do rio pardo,-20.4431,-53.7592,23.02,60,36,2.09,BR,2023-05-25
22,stanley,54.868,-1.6985,12.16,87,0,1.54,GB,2023-05-25
23,remire-montjoly,4.9167,-52.2667,24.02,100,20,1.03,GF,2023-05-25
24,oliver,49.1831,-119.5524,18.95,59,98,2.06,CA,2023-05-25
25,edinburgh of the seven seas,-37.0676,-12.3116,16.25,81,50,11.58,SH,2023-05-25
26,pointe michel,15.25,-61.3833,27.16,80,26,4.45,DM,2023-05-25
27,dudinka,69.4058,86.1778,1.46,93,83,4.97,RU,2023-05-25
28,susuman,62.7833,148.1667,6.17,49,24,1.69,RU,2023-05-25
29,nieuw nickerie,5.95,-56.9833,26.47,89,79,3.11,SR,2023-05-25
30,kiiminki,65.1314,25.7974,6.48,79,44,3.78,FI,2023-05-25
31,korla,41.7597,86.1469,17.25,30,69,2.66,CN,2023-05-25
32,bethel,41.3712,-73.414,18.31,47,0,4.12,US,2023-05-25
33,kodiak,57.79,-152.4072,9.73,57,100,3.6,US,2023-05-25
34,kuala belait,4.5833,114.1833,26.09,83,100,1.63,BN,2023-05-25
35,college,64.8569,-147.8028,22.83,30,75,4.63,US,2023-05-25
36,khorinsk,52.1657,109.7726,3.39,77,99,5.75,RU,2023-05-25
37,puerto ayora,-0.7393,-90.3518,26.42,89,31,3.58,EC,2023-05-25
38,albany,42.6001,-73.9662,17.46,45,36,3.98,US,2023-05-25
39,broome,42.2506,-75.833,15.81,49,0,5.14,US,2023-05-25
40,egilsstadir,65.2653,-14.3948,7.95,46,0,3.6,IS,2023-05-25
41,dwarka,22.2394,68.9678,28.07,87,20,10.4,IN,2023-05-25
42,bilibino,68.0546,166.4372,8.43,49,99,0.63,RU,2023-05-25
43,st. john's,47.5649,-52.7093,4.32,94,100,3.6,CA,2023-05-25
44,camargo,27.6667,-105.1667,34.46,11,53,3.65,MX,2023-05-25
45,nouadhibou,20.931,-17.0347,17.99,94,100,7.2,MR,2023-05-25
46,nova sintra,14.8667,-24.7167,20.74,83,96,7.09,CV,2023-05-25
47,longyearbyen,78.2186,15.6401,-0.09,93,100,10.29,SJ,2023-05-25
48,kiffa,16.6166,-11.4045,30.84,41,63,2.84,MR,2023-05-25
49,yamba,-5.9,22.3,23.32,70,35,0.61,CD,2023-05-25
50,puerto baquerizo moreno,-0.9,-89.6,26.02,77,48,4.7,EC,2023-05-25
51,nicoya,10.1483,-85.452,28.71,71,95,0.85,CR,2023-05-25
52,qamdo,31.1667,97.2333,2.82,59,5,2.42,CN,2023-05-25
53,puerto natales,-51.7236,-72.4875,1.03,89,96,2.48,CL,2023-05-25
54,uturoa,-16.7333,-151.4333,27.43,77,34,5.41,PF,2023-05-25
55,kismayo,-0.3582,42.5454,26.43,77,7,6.19,SO,2023-05-25
56,boende,-0.2167,20.8667,23.06,90,100,1.5,CD,2023-05-25
57,novyy urgal,51.0736,132.5642,15.04,76,97,3.63,RU,2023-05-25
58,besancon,47.2488,6.0182,13.97,91,3,2.07,FR,2023-05-25
59,klyuchi,52.2667,79.1667,13.0,41,100,3.84,RU,2023-05-25
60,haenam,34.5711,126.5989,18.8,77,82,1.95,KR,2023-05-25
61,north bend,43.4065,-124.2243,24.58,68,0,10.8,US,2023-05-25
62,magomeni,-6.8,39.25,23.18,86,5,2.72,TZ,2023-05-25
63,vilyuchinsk,52.9306,158.4028,11.15,78,88,1.6,RU,2023-05-25
64,grytviken,-54.2811,-36.5092,1.6,99,99,2.51,GS,2023-05-25
65,qaqortoq,60.7167,-46.0333,0.7,100,100,0.33,GL,2023-05-25
66,waingapu,-9.6567,120.2641,23.98,83,36,3.69,ID,2023-05-25
67,charters towers,-20.1,146.2667,19.5,65,53,1.52,AU,2023-05-25
68,east london,-33.0153,27.9116,16.3,72,99,8.97,ZA,2023-05-25
69,codrington,-38.2667,141.9667,11.17,68,100,6.49,AU,2023-05-25
70,olonkinbyen,70.9221,-8.7187,-0.54,68,37,10.12,SJ,2023-05-25
